ward,date_diff,case_status
10,1000,Closed
1,1000,Closed
14,1000,Closed
3,6301844000,Closed
2,231834000,Closed
16,4604000,Closed
18,6000,Closed
3,1000,Closed
17,88825000,Closed
14,15539000,Closed
19,83387000,Closed
3,179720000,Closed
1,1000,Closed
3,1385546000,Closed
4,3658000,Closed
20,9833000,Closed
22,2000,Closed
12,1000,Closed
18,1000,Closed
9,167817000,Closed
15,1000,Closed
20,1000,Closed
2,3437000,Closed
14,1000,Closed
3,185543000,Closed
9,1000,Closed
8,256061000,Closed
1,58939000,Closed
22,51899000,Closed
18,21555000,Closed
3,174426000,Closed
9,1000,Closed
14,1674000,Closed
19,10281000,Closed
20,1000,Closed
18,1000,Closed
20,4494000,Closed
12,23433000,Closed
9,1000,Closed
2,478375000,Closed
11,5176712000,Closed
22,2000,Closed
5,164369000,Closed
20,1000,Closed
5,51258000,Closed
20,12449000,Closed
8,73994000,Closed
11,1000,Closed
18,1000,Closed
8,1000,Closed
18,1188000,Closed
11,7094000,Closed
20,1000,Closed
10,591656000,Closed
19,85473000,Closed
9,80628000,Closed
2,1329000,Closed
20,786000,Closed
19,1000,Closed
13,8625000,Closed
3,37646000,Closed
12,1000,Closed
22,280856000,Closed
9,1000,Closed
8,1000,Closed
22,1000,Closed
18,1000,Closed
7,154293000,Closed
5,7925000,Closed
8,7377000,Closed
1,1636367000,Closed
17,2100254000,Closed
20,2000,Closed
1,1000,Closed
17,1000,Closed
17,43866000,Closed
2,171659000,Closed
9,1235000,Closed
6,256595000,Closed
14,1000,Closed
18,88741000,Closed
4,70238000,Closed
21,79666000,Closed
18,1000,Closed
8,18075000,Closed
1,7895000,Closed
3,5000,Closed
4,70200000,Closed
11,1000,Closed
5,845784000,Closed
3,81614000,Closed
19,1000,Closed
14,79058000,Closed
6,124463000,Closed
3,43000,Closed
20,13112000,Closed
18,5000,Closed
16,1000,Closed
1,1000,Closed
9,76513000,Closed
19,5939000,Closed
3,414666000,Closed
4,71320000,Closed
21,110000,Closed
1,2000,Closed
19,1000,Closed
18,19336000,Closed
12,2000,Closed
22,6000,Closed
5,20028430000,Closed
